admission_score,career_admission_age,gender,previous_studies,origins,highschool_grade,career_anonymous_id,GPA,ECTS,stud_career_degree_name,hybrid_teaching
1.47987645563159,0.174975567720871,M,Scientific,Commuter,0.915862348093055,99207995,22.59375,32,EP01,1
1.42882804211833,0.174975567720871,M,Scientific,Milanese,0.915862348093055,99207286,23.92857,28,EP07,1
-0.356075258441617,-0.472368743455413,M,Scientific,Milanese,0.915862348093055,99208688,25.66667,30,EP15,1
-0.493099947345618,0.174975567720871,M,Scientific,Commuter,0.915862348093055,99375253,24.59259,27,EP17,0
-0.605048222593984,0.174975567720871,M,Scientific,Milanese,-0.085035978614225,99209362,19.77778,18,EP07,1
-0.544148360858873,0.822319878897155,F,Scientific,Milanese,-1.33615888699832,99284150,NA,0,EP10,0
-0.447425051044284,0.174975567720871,M,Technical,Commuter,0.915862348093055,99106770,23,10,EP07,1
-0.727743532266193,-0.472368743455413,M,Scientific,Commuter,0.60308162099703,99111751,18,10,EP15,1
0.676535632449314,0.174975567720871,M,Scientific,Commuter,0.60308162099703,99208552,20.88889,18,EP07,1
1.726162661178,-0.472368743455413,M,Scientific,Commuter,0.915862348093055,99209338,27.66667,30,EP14,1
2.48114182945298,-0.472368743455413,M,Scientific,Commuter,0.915862348093055,99108604,30,28,EP07,1
-0.730430290872154,0.174975567720871,F,Scientific,Commuter,-0.210148269452635,99379945,19,7,EP17,0
0.412337702863169,0.174975567720871,M,Scientific,Milanese,-0.27270441487184,99110910,24.5,20,EP15,1
1.38404873201899,0.174975567720871,M,Scientific,Commuter,0.915862348093055,99107689,25.29412,17,EP17,1
0.152617704286959,-0.472368743455413,M,Classical,Milanese,0.915862348093055,99113847,22.66667,30,EP14,1
0.945211493045393,0.174975567720871,F,Scientific,Commuter,0.915862348093055,99109879,24.33333,30,EP15,1
0.835054390201,-0.472368743455413,M,Scientific,Commuter,0.915862348093055,99456212,23.70588,17,EP13,0
0.342481979108188,0.174975567720871,F,Scientific,Commuter,0.915862348093055,99112302,27.66667,30,EP02,1
-2.29322821333935,0.174975567720871,F,Scientific,Milanese,-0.27270441487184,99363139,NA,0,EP04,0
-0.075756777219708,0.174975567720871,F,Scientific,Commuter,0.790750057254645,99443607,23,8,EP16,0
1.40554280086667,-0.472368743455413,M,Scientific,Milanese,0.915862348093055,99290615,28.5,32,EP01,0
1.89184610854558,-0.472368743455413,F,Scientific,Milanese,0.540525475577825,99208143,NA,0,EP13,1
-0.984776772236442,0.174975567720871,M,Technical,Commuter,-0.02247983319502,99362334,27.66667,21,EP18,0
0.784005976687744,-0.472368743455413,M,Scientific,Milanese,-0.77315357822548,99203893,20.875,24,EP18,1
